CodigoEstacion,CodigoSensor,FechaObservacion,ValorObservado,NombreEstacion,Departamento,Municipio,ZonaHidrografica,Latitud,Longitud,DescripcionSensor,UnidadMedida,Fecha
0014015020,0068,2015 Mar 08 10:00:00 PM,25.5,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2015-03-08T22:00:00.000-05:00
0014015020,0068,2016 Nov 08 12:00:00 PM,29.8,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2016-11-08T12:00:00.000-05:00
0014015020,0068,2016 Nov 25 03:00:00 PM,30.2,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2016-11-25T15:00:00.000-05:00
0014015020,0068,2018 Jul 28 06:00:00 AM,26.7,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2018-07-28T06:00:00.000-05:00
0014015020,0068,2017 Aug 26 06:00:00 PM,30.9,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2017-08-26T18:00:00.000-05:00
0014015020,0068,2017 Oct 13 10:00:00 PM,29.2,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2017-10-13T22:00:00.000-05:00
0014015020,0068,2017 Sep 11 08:00:00 AM,29.4,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2017-09-11T08:00:00.000-05:00
0014015020,0068,2018 Oct 01 10:00:00 PM,27.3,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2018-10-01T22:00:00.000-05:00
0014015020,0068,2019 Jun 28 08:00:00 PM,27.8,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2019-06-28T20:00:00.000-05:00
0014015020,0068,2019 Jun 22 08:00:00 PM,27.8,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2019-06-22T20:00:00.000-05:00
0014015020,0068,2016 Jan 30 11:00:00 PM,15.5,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2016-01-30T23:00:00.000-05:00
0014015020,0068,2015 Jun 26 09:00:00 AM,30.8,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2015-06-26T09:00:00.000-05:00
0014015020,0068,2016 Dec 06 11:00:00 PM,27.4,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2016-12-06T23:00:00.000-05:00
0014015020,0068,2019 Mar 17 07:00:00 AM,24.7,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2019-03-17T07:00:00.000-05:00
0014015020,0068,2016 Nov 16 11:00:00 PM,27.7,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2016-11-16T23:00:00.000-05:00
0014015020,0068,2019 May 17 07:00:00 AM,29.3,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2019-05-17T07:00:00.000-05:00
0014015020,0068,2015 Feb 12 07:00:00 PM,27.4,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2015-02-12T19:00:00.000-05:00
0014015020,0068,2016 Nov 05 11:00:00 PM,26.3,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2016-11-05T23:00:00.000-05:00
0014015020,0068,2017 Dec 14 03:00:00 PM,31.3,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2017-12-14T15:00:00.000-05:00
0014015020,0068,2019 Jun 05 06:00:00 AM,27.6,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2019-06-05T06:00:00.000-05:00
0014015020,0068,2017 Jun 15 08:00:00 PM,28.1,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2017-06-15T20:00:00.000-05:00
0014015020,0068,2017 Sep 12 06:00:00 AM,29.4,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2017-09-12T06:00:00.000-05:00
0014015020,0068,2015 Apr 06 01:00:00 PM,30.7,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2015-04-06T13:00:00.000-05:00
0014015020,0068,2018 Nov 06 11:00:00 PM,26.5,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2018-11-06T23:00:00.000-05:00
0014015020,0068,2017 Feb 10 03:00:00 PM,31.3,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2017-02-10T15:00:00.000-05:00
0014015020,0068,2015 Jul 18 05:00:00 PM,26.7,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2015-07-18T17:00:00.000-05:00
0014015020,0068,2017 Jun 19 11:00:00 PM,28.1,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2017-06-19T23:00:00.000-05:00
0014015020,0068,2015 Mar 08 08:00:00 AM,27.3,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2015-03-08T08:00:00.000-05:00
0014015020,0068,2015 Jun 12 12:00:00 AM,27.6,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2015-06-12T00:00:00.000-05:00
0014015020,0068,2015 Dec 12 01:00:00 PM,32.1,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2015-12-12T13:00:00.000-05:00
0014015020,0068,2016 Sep 27 02:00:00 PM,31.7,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2016-09-27T14:00:00.000-05:00
